"Region","# Listings","Total # Regions"
"birmingham","1647","404"
"new haven","1644","404"
"daytona beach","1633","404"
"charleston","1509","404"
"chico","1486","404"
"san luis obispo","1455","404"
"monterey bay","1451","404"
"asheville","1423","404"
"toledo","1406","404"
"columbia","1388","404"
"missoula","1378","404"
"lansing","1367","404"
"jackson","1351","404"
"space coast","1346","404"
"syracuse","1338","404"
"fredericksburg","1328","404"
"wenatchee","1324","404"
"new orleans","1321","404"
"huntsville / decatur","1273","404"
"appleton-oshkosh-FDL","1261","404"
"lehigh valley","1261","404"
"flint","1258","404"
"columbia / jeff city","1257","404"
"bozeman","1249","404"
"kalamazoo","1236","404"
"western slope","1188","404"
"corpus christi","1176","404"
"treasure coast","1173","404"
"corvallis/albany","1168","404"
"roanoke","1121","404"
"lexington","1115","404"
"tri-cities","1110","404"
"ann arbor","1085","404"
"rockford","1059","404"
"santa barbara","1052","404"
"east idaho","1052","404"
"lakeland","1048","404"
"myrtle beach","1043","404"
"chattanooga","1038","404"
"green bay","1033","404"
"winston-salem","1027","404"
"mcallen / edinburg","1019","404"
"scranton / wilkes-barre","1008","404"
"moses lake","994","404"
"tyler / east TX","992","404"
"lancaster","988","404"
"kalispell","978","404"
"harrisburg","976","404"
"wilmington","975","404"
"fargo / moorhead","969","404"
"south bend / michiana","969","404"
"st cloud","954","404"
"delaware","949","404"
"gainesville","926","404"
"visalia-tulare","922","404"
"eastern NC","895","404"
"flagstaff / sedona","881","404"
"saginaw-midland-baycity","876","404"
"hickory / lenoir","853","404"
"eau claire","846","404"
"jersey shore","838","404"
"erie","805","404"
"santa fe / taos","801","404"
"twin falls","794","404"
"fort wayne","788","404"
"clarksville","785","404"
"york","777","404"
"tallahassee","771","404"
"gold country","765","404"
"duluth / superior","763","404"
"kenosha-racine","757","404"
"pueblo","746","404"
"prescott","746","404"
"santa maria","740","404"
"baton rouge","733","404"
"wausau","726","404"
"east oregon","720","404"
"olympic peninsula","717","404"
"lewiston / clarkston","710","404"
"skagit / island / SJI","701","404"
"boulder","694","404"
"oregon coast","694","404"
"macon / warner robins","687","404"
"quad cities, IA/IL","687","404"
"waco","681","404"
"winchester","672","404"
"youngstown","664","404"
"killeen / temple / ft hood","662","404"
"merced","654","404"
"cedar rapids","648","404"
"south coast","645","404"
"charlottesville","642","404"
"battle creek","639","404"
"mobile","626","404"
"pensacola","622","404"
"sioux falls / SE SD","621","404"
"northern michigan","612","404"
"wyoming","610","404"
"utica-rome-oneida","607","404"
"athens","607","404"
"lincoln","604","404"
"cape cod / islands","598","404"
"pullman / moscow","595","404"
"wichita falls","589","404"
"eastern CT","583","404"
"topeka","582","404"
"amarillo","564","404"
"southern illinois","555","404"
"waterloo / cedar falls","555","404"
"holland","534","404"
"brainerd","533","404"
"monroe","530","404"
"great falls","524","404"
"la crosse","521","404"
"savannah / hinesville","516","404"
"rapid city / west SD","502","404"
"lynchburg","496","404"
"lubbock","492","404"
"lima / findlay","485","404"
"salt lake city","485","404"
"augusta","480","404"
"southwest michigan","476","404"
"binghamton","474","404"
"muskegon","473","404"
"poconos","464","404"
"north mississippi","462","404"
"central michigan","461","404"
"mankato","445","404"
"finger lakes","439","404"
"mohave county","435","404"
"odessa / midland","433","404"
"peoria","432","404"
"danville","427","404"
"fairbanks","427","404"
"shreveport","422","404"
"reading","416","404"
"northwest GA","415","404"
"bowling green","415","404"
"watertown","414","404"
"evansville","413","404"
"montgomery","408","404"
"southern maryland","405","404"
"northwest CT","397","404"
"sioux city","393","404"
"humboldt county","385","404"
"elmira-corning","379","404"
"harrisonburg","375","404"
"eastern shore","368","404"
"bemidji","365","404"
"altoona-johnstown","364","404"
"st george","362","404"
"williamsport","362","404"
"brownsville","361","404"
"mansfield","359","404"
"port huron","358","404"
"las cruces","358","404"
"upper peninsula","355","404"
"klamath falls","343","404"
"janesville","343","404"
"boone","338","404"
"jonesboro","337","404"
"laredo","337","404"
"yuma","335","404"
"joplin","328","404"
"st augustine","328","404"
"fort smith","327","404"
"dothan","325","404"
"florence","324","404"
"st joseph","323","404"
"zanesville / cambridge","313","404"
"college station","313","404"
"morgantown","307","404"
"ithaca","303","404"
"panama city","298","404"
"roseburg","294","404"
"frederick","288","404"
"beaumont / port arthur","287","404"
"the thumb","286","404"
"western maryland","285","404"
"annapolis","285","404"
"texoma","284","404"
"imperial county","282","404"
"sheboygan","281","404"
"champaign urbana","281","404"
"new river valley","275","404"
"glens falls","274","404"
"ashtabula","270","404"
"northern panhandle","268","404"
"parkersburg-marietta","264","404"
"northern WI","262","404"
"valdosta","262","404"
"lafayette / west lafayette","260","404"
"chillicothe","257","404"
"plattsburgh-adirondacks","256","404"
"helena","255","404"
"southwest VA","254","404"
"iowa city","253","404"
"manhattan","251","404"
"eastern panhandle","251","404"
"muncie / anderson","248","404"
"southeast missouri","245","404"
"sandusky","244","404"
"victoria","243","404"
"sierra vista","241","404"
"mendocino county","238","404"
"lake of the ozarks","236","404"
"abilene","235","404"
"north central FL","230","404"
"dubuque","228","404"
"galveston","225","404"
"kenai peninsula","221","404"
"chautauqua","221","404"
"bloomington-normal","217","404"
"bloomington","217","404"
"mason city","217","404"
"eastern kentucky","213","404"
"western KY","212","404"
"grand island","212","404"
"texarkana","211","404"
"state college","210","404"
"lawton","207","404"
"gadsden-anniston","207","404"
"florida keys","203","404"
"lawrence","199","404"
"terre haute","198","404"
"stillwater","198","404"
"okaloosa / walton","194","404"
"ames","194","404"
"grand forks","192","404"
"cookeville","189","404"
"brunswick","187","404"
"hilton head","186","404"
"san marcos","179","404"
"cumberland valley","179","404"
"lafayette","179","404"
"hanford-corcoran","178","404"
"meadville","177","404"
"southeast IA","175","404"
"decatur","171","404"
"heartland florida","170","404"
"high rockies","169","404"
"salina","168","404"
"florence / muscle shoals","165","404"
"tuscaloosa","162","404"
"san angelo","161","404"
"lake charles","156","404"
"kokomo","156","404"
"mattoon-charleston","156","404"
"tuscarawas co","154","404"
"logan","152","404"
"catskills","147","404"
"northwest OK","145","404"
"northwest KS","143","404"
"auburn","142","404"
"owensboro","140","404"
"statesboro","140","404"
"twin tiers NY/PA","136","404"
"farmington","136","404"
"butte","134","404"
"central louisiana","132","404"
"gulfport / biloxi","127","404"
"north dakota","126","404"
"elko","120","404"
"southeast KS","119","404"
"susanville","119","404"
"kirksville","119","404"
"huntington-ashland","118","404"
"scottsbluff / panhandle","117","404"
"la salle co","116","404"
"show low","112","404"
"outer banks","109","404"
"del rio / eagle pass","108","404"
"potsdam-canton-massena","102","404"
"roswell / carlsbad","100","404"
"hattiesburg","99","404"
"southwest KS","96","404"
"bismarck","92","404"
"south dakota","90","404"
"deep east texas","88","404"
"houma","88","404"
"fort dodge","87","404"
"southeast alaska","84","404"
"siskiyou county","83","404"
"north platte","80","404"
"clovis / portales","78","404"
"ogden-clearfield","76","404"
"eastern montana","75","404"
"provo / orem","75","404"
"western IL","63","404"
"oneonta","62","404"
"southwest MN","56","404"
"pierre / central SD","55","404"
"eastern CO","40","404"
"southern WV","36","404"
"st louis","35","404"
"northeast SD","34","404"
"southwest TX","30","404"
"meridian","28","404"
"southwest MS","14","404"
"kansas city","11","404"
"fort smith, AR","9","404"
"west virginia (old)","8","404"
